,Time,Tweet,User,Location,Retweets,Likes
11,2022-11-23 20:10:38+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,TigrayYerdu,,69,0
12,2022-11-23 19:57:01+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,robelbah,,69,0
13,2022-11-23 19:44:51+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,Lillyanapk,,69,0
14,2022-11-23 19:40:30+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,brhymmd48846267,,69,0
15,2022-11-23 19:24:30+00:00,"@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef And the Sky must be closed.
If others don't want to do It. Planes must be given to Ukraine. Putler destroyed their infrastructure - there is the legitimate right to restore it",gemmasasha1,,0,0
16,2022-11-23 19:22:29+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,TDF121212,,11,0
17,2022-11-23 19:15:40+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",biniam80907271,,262,0
18,2022-11-23 19:14:54+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Tigray_t21,,154,0
19,2022-11-23 18:47:19+00:00,"THERE'S NO DEMOCRAT ELECTION FRAUD! That's how Maggie Hassan won 1,100 Votes from Town with Population Under 700! 

More of the same DEMOCRAT Non-Election Fraud!",pcisafraud,United States,0,0
20,2022-11-23 18:45:47+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",Tsege_G,,262,0
21,2022-11-23 18:34:09+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,Elena_MkH,,11,0
22,2022-11-23 18:34:00+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",TigrayKwgehEu,,262,0
23,2022-11-23 18:31:54+00:00,RT @Sisay34690879: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,SultanA34668423,,10,0
24,2022-11-23 18:25:19+00:00,RT @selamgebrekid15: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,SultanA34668423,,72,0
25,2022-11-23 18:21:16+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,DogaliV,,69,0
0,2022-11-23 22:50:15+00:00,RT @Patsnights: @MikeCroninWMUR @Maggie_Hassan I guess if you throw enough money at something. Proving Bloomberg wrong I guess. https://t.c…,Lisacre05855159,Landon uk,1,0
1,2022-11-23 22:49:15+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,ntigrayi12,,11,0
2,2022-11-23 22:44:49+00:00,@NHmountaingal @KarenTalaski @nathaliejacoby1 Maggie Hassan. She is down to earth and truly cares about our country. I would really like 1:1 time to chat with her. We could celebrate her win over Don Bolduc  🥂,PattyONeill1,,0,2
3,2022-11-23 22:43:03+00:00,@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef You need long range kamakaze drones. Which will be cost effective. They can be used against aggressor Russia.,vipinpateliitr,,0,1
4,2022-11-23 21:40:58+00:00,"Fact check: Typo in New Hampshire vote tally was corrected, not counted https://t.co/93w7IVlABq via @USATODAY",BlueByrdie,"Anderson County, TN",0,0
5,2022-11-23 21:27:59+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",5Weyen72,,262,0
6,2022-11-23 20:57:01+00:00,RT @_Dashenka_: @GoncharenkoUa We know why. The question is what can stop this? @SecBlinken @POTUS @Maggie_Hassan @SecDef we need more air…,Montagn62771925,,3,0
7,2022-11-23 20:55:31+00:00,"@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef I also think Russia is not feeling enough pain yet, they are  finding ways around the sanctions, that needs to stop and  they need to be completely isolated and punished for this genocide..",Daneliz350,,0,0
8,2022-11-23 20:47:11+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Hibiyee,,154,0
9,2022-11-23 20:43:06+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",Halefomberhe_1,,262,0
10,2022-11-23 20:13:14+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Galgebru,,154,0
11,2022-11-23 20:10:38+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,TigrayYerdu,,69,0
12,2022-11-23 19:57:01+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,robelbah,,69,0
13,2022-11-23 19:44:51+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,Lillyanapk,,69,0
14,2022-11-23 19:40:30+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,brhymmd48846267,,69,0
15,2022-11-23 19:24:30+00:00,"@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef And the Sky must be closed.
If others don't want to do It. Planes must be given to Ukraine. Putler destroyed their infrastructure - there is the legitimate right to restore it",gemmasasha1,,0,0
16,2022-11-23 19:22:29+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,TDF121212,,11,0
17,2022-11-23 19:15:40+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",biniam80907271,,262,0
18,2022-11-23 19:14:54+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Tigray_t21,,154,0
19,2022-11-23 18:47:19+00:00,"THERE'S NO DEMOCRAT ELECTION FRAUD! That's how Maggie Hassan won 1,100 Votes from Town with Population Under 700! 

More of the same DEMOCRAT Non-Election Fraud!",pcisafraud,United States,0,0
20,2022-11-23 18:45:47+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",Tsege_G,,262,0
21,2022-11-23 18:34:09+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,Elena_MkH,,11,0
22,2022-11-23 18:34:00+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",TigrayKwgehEu,,262,0
23,2022-11-23 18:31:54+00:00,RT @Sisay34690879: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,SultanA34668423,,10,0
24,2022-11-23 18:25:19+00:00,RT @selamgebrekid15: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,SultanA34668423,,72,0
25,2022-11-23 18:21:16+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,DogaliV,,69,0
0,2022-11-23 22:50:15+00:00,RT @Patsnights: @MikeCroninWMUR @Maggie_Hassan I guess if you throw enough money at something. Proving Bloomberg wrong I guess. https://t.c…,Lisacre05855159,Landon uk,1,0
1,2022-11-23 22:49:15+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,ntigrayi12,,11,0
2,2022-11-23 22:44:49+00:00,@NHmountaingal @KarenTalaski @nathaliejacoby1 Maggie Hassan. She is down to earth and truly cares about our country. I would really like 1:1 time to chat with her. We could celebrate her win over Don Bolduc  🥂,PattyONeill1,,0,2
3,2022-11-23 22:43:03+00:00,@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef You need long range kamakaze drones. Which will be cost effective. They can be used against aggressor Russia.,vipinpateliitr,,0,1
4,2022-11-23 21:40:58+00:00,"Fact check: Typo in New Hampshire vote tally was corrected, not counted https://t.co/93w7IVlABq via @USATODAY",BlueByrdie,"Anderson County, TN",0,0
5,2022-11-23 21:27:59+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",5Weyen72,,262,0
6,2022-11-23 20:57:01+00:00,RT @_Dashenka_: @GoncharenkoUa We know why. The question is what can stop this? @SecBlinken @POTUS @Maggie_Hassan @SecDef we need more air…,Montagn62771925,,3,0
7,2022-11-23 20:55:31+00:00,"@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef I also think Russia is not feeling enough pain yet, they are  finding ways around the sanctions, that needs to stop and  they need to be completely isolated and punished for this genocide..",Daneliz350,,0,0
8,2022-11-23 20:47:11+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Hibiyee,,154,0
9,2022-11-23 20:43:06+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",Halefomberhe_1,,262,0
10,2022-11-23 20:13:14+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Galgebru,,154,0
11,2022-11-23 20:10:38+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,TigrayYerdu,,69,0
12,2022-11-23 19:57:01+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,robelbah,,69,0
13,2022-11-23 19:44:51+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,Lillyanapk,,69,0
14,2022-11-23 19:40:30+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,brhymmd48846267,,69,0
15,2022-11-23 19:24:30+00:00,"@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef And the Sky must be closed.
If others don't want to do It. Planes must be given to Ukraine. Putler destroyed their infrastructure - there is the legitimate right to restore it",gemmasasha1,,0,0
16,2022-11-23 19:22:29+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,TDF121212,,11,0
17,2022-11-23 19:15:40+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",biniam80907271,,262,0
18,2022-11-23 19:14:54+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Tigray_t21,,154,0
19,2022-11-23 18:47:19+00:00,"THERE'S NO DEMOCRAT ELECTION FRAUD! That's how Maggie Hassan won 1,100 Votes from Town with Population Under 700! 

More of the same DEMOCRAT Non-Election Fraud!",pcisafraud,United States,0,0
20,2022-11-23 18:45:47+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",Tsege_G,,262,0
21,2022-11-23 18:34:09+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,Elena_MkH,,11,0
22,2022-11-23 18:34:00+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",TigrayKwgehEu,,262,0
23,2022-11-23 18:31:54+00:00,RT @Sisay34690879: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,SultanA34668423,,10,0
24,2022-11-23 18:25:19+00:00,RT @selamgebrekid15: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,SultanA34668423,,72,0
25,2022-11-23 18:21:16+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,DogaliV,,69,0
0,2022-11-23 22:50:15+00:00,RT @Patsnights: @MikeCroninWMUR @Maggie_Hassan I guess if you throw enough money at something. Proving Bloomberg wrong I guess. https://t.c…,Lisacre05855159,Landon uk,1,0
1,2022-11-23 22:49:15+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,ntigrayi12,,11,0
2,2022-11-23 22:44:49+00:00,@NHmountaingal @KarenTalaski @nathaliejacoby1 Maggie Hassan. She is down to earth and truly cares about our country. I would really like 1:1 time to chat with her. We could celebrate her win over Don Bolduc  🥂,PattyONeill1,,0,2
3,2022-11-23 22:43:03+00:00,@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef You need long range kamakaze drones. Which will be cost effective. They can be used against aggressor Russia.,vipinpateliitr,,0,1
4,2022-11-23 21:40:58+00:00,"Fact check: Typo in New Hampshire vote tally was corrected, not counted https://t.co/93w7IVlABq via @USATODAY",BlueByrdie,"Anderson County, TN",0,0
5,2022-11-23 21:27:59+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",5Weyen72,,262,0
6,2022-11-23 20:57:01+00:00,RT @_Dashenka_: @GoncharenkoUa We know why. The question is what can stop this? @SecBlinken @POTUS @Maggie_Hassan @SecDef we need more air…,Montagn62771925,,3,0
7,2022-11-23 20:55:31+00:00,"@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef I also think Russia is not feeling enough pain yet, they are  finding ways around the sanctions, that needs to stop and  they need to be completely isolated and punished for this genocide..",Daneliz350,,0,0
8,2022-11-23 20:47:11+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Hibiyee,,154,0
9,2022-11-23 20:43:06+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",Halefomberhe_1,,262,0
10,2022-11-23 20:13:14+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Galgebru,,154,0
11,2022-11-23 20:10:38+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,TigrayYerdu,,69,0
12,2022-11-23 19:57:01+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,robelbah,,69,0
13,2022-11-23 19:44:51+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,Lillyanapk,,69,0
14,2022-11-23 19:40:30+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,brhymmd48846267,,69,0
15,2022-11-23 19:24:30+00:00,"@_Dashenka_ @GoncharenkoUa @SecBlinken @POTUS @Maggie_Hassan @SecDef And the Sky must be closed.
If others don't want to do It. Planes must be given to Ukraine. Putler destroyed their infrastructure - there is the legitimate right to restore it",gemmasasha1,,0,0
16,2022-11-23 19:22:29+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,TDF121212,,11,0
17,2022-11-23 19:15:40+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",biniam80907271,,262,0
18,2022-11-23 19:14:54+00:00,RT @yodit49368390: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,Tigray_t21,,154,0
19,2022-11-23 18:47:19+00:00,"THERE'S NO DEMOCRAT ELECTION FRAUD! That's how Maggie Hassan won 1,100 Votes from Town with Population Under 700! 

More of the same DEMOCRAT Non-Election Fraud!",pcisafraud,United States,0,0
20,2022-11-23 18:45:47+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",Tsege_G,,262,0
21,2022-11-23 18:34:09+00:00,RT @marta_nguse: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces wi…,Elena_MkH,,11,0
22,2022-11-23 18:34:00+00:00,"RT @Dani27boy3: 15/25
Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forc…",TigrayKwgehEu,,262,0
23,2022-11-23 18:31:54+00:00,RT @Sisay34690879: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n forces…,SultanA34668423,,10,0
24,2022-11-23 18:25:19+00:00,RT @selamgebrekid15: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,SultanA34668423,,72,0
25,2022-11-23 18:21:16+00:00,RT @MebratGeberela1: Those are helpless Tigrayans on the street who flee from their homes to save their lives from the merciless 🇪🇷|n force…,DogaliV,,69,0
