,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,Sentiment,sentiment
110,5,2022-11-23 18:27:46+00:00,"RT @nbablib: Famous Birthdays: William H. Bonney(1859), Boris Karloff(1877), Harpo Marx(1888), Charles Schumer(1950), Steve Harvey(1956), R…",CrotonLibrary,"Croton-on-Hudson, NY",1,0,4,4
111,6,2022-11-23 17:20:59+00:00,"Famous Birthdays: William H. Bonney(1859), Boris Karloff(1877), Harpo Marx(1888), Charles Schumer(1950), Steve Harvey(1956), Robin Roberts(1960) and Miley Cyrus(1992).",nbablib,North Babylon,1,2,4,4
112,7,2022-11-23 17:08:24+00:00,"Schumer, Then and Now – Townhall https://t.co/tc8xNrOO6G",QuorumCall,USA,0,0,4,4
113,8,2022-11-23 16:32:16+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",wyvettelvr,"Wyoming, USA",10,0,4,4
114,9,2022-11-23 16:02:30+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",Snap1967Ginger,USA,10,0,4,4
115,10,2022-11-23 15:21:07+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",Dman5413,,10,0,4,4
116,11,2022-11-23 15:18:33+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",maritza82283179,,10,0,4,4
117,12,2022-11-23 15:04:15+00:00,"@JDCocchiarella I have questions too: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
Al Sharpton 
Maxine Waters 
Bil Clinton 
Hillary Clinton 
Chelsea Clinton 
Just to name a few.",528i,"Houston,Texas",0,0,4,4
118,13,2022-11-23 15:00:56+00:00,"@BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
Al Sharpton 
Maxine Waters 
Bil Clinton 
Hillary Clinton 
Chelsea Clinton 
Just to name a few.",528i,"Houston,Texas",10,14,4,4
119,14,2022-11-23 15:00:27+00:00,"@SpeakerPelosi Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
Al Sharpton 
Maxine Waters 
Bil Clinton 
Hillary Clinton 
Chelsea Clinton 
Just to name a few.",528i,"Houston,Texas",0,1,4,4
120,15,2022-11-23 14:56:39+00:00,"@nathaliejacoby1 Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
Al Sharpton 
Maxine Waters 
Bil Clinton 
Hillary Clinton 
Chelsea Clinton 
Just to name a few.",528i,"Houston,Texas",0,0,4,4
121,16,2022-11-23 14:43:26+00:00,Sen. Schumer: Relief in sight for homeowners taxed by IRS for septic improvement grant https://t.co/kMQ5RCPCsG,QuorumCall,USA,0,0,4,4
122,17,2022-11-23 13:03:31+00:00,Get out the birthday balloons! Sen. Charles Schumer (D) from NY was born today! https://t.co/UvAxkOoINz,ButterflyLachoi,"San Jose, CA",0,0,4,4
123,18,2022-11-23 13:00:31+00:00,Get out the birthday balloons! Sen. Charles Schumer (D) from NY was born today! https://t.co/HnQXjVjSW9,ButterflyLachoi,"San Jose, CA",0,0,4,4
124,19,2022-11-23 12:38:11+00:00,Charles Schumer is our Vernon Dursley #comeymemo,HParallels,Hogwarts,0,0,4,4
125,20,2022-11-23 12:19:19+00:00,SCHUMER REVEALS: ISSUE OF 'DOUBLE TAXING' FOR SUFFOLK SEPTIC GRANTS … https://t.co/cKy8rq0dvX,QuorumCall,USA,0,0,4,4
126,21,2022-11-23 11:48:25+00:00,"CAL THOMAS: Charles Schumer, then and now https://t.co/hkqCGGwMPU https://t.co/6DyrtnqWPV",TheClaytonNews,"Jonesboro, Ga.",0,0,4,4
127,22,2022-11-23 09:46:51+00:00,"Cal Thomas: Schumer, then and now | | https://t.co/7vJToX5AYA https://t.co/VfLQPDih4m",QuorumCall,USA,0,0,4,4
128,23,2022-11-23 07:10:04+00:00,"@Tampax nooo don’t sexualize tampons!! Just as nasty as when Charles Windsor did it. We’ve been trying to get away from that shit for years, gals are still being prevented from using them because it’ll “take their virginity”🤢. I do like ur Amy Schumer ads but this is ICKY",eacarriere,"Northwestern Ontario, Canada",0,0,0,0
129,24,2022-11-23 07:07:54+00:00,"CAL THOMAS: Charles Schumer, then and now | News | https://t.co/NFQQYwjBQ1 https://t.co/mNWUim2Dwj",QuorumCall,USA,0,0,4,4
130,25,2022-11-23 04:38:19+00:00,"Celebrating Dems Senate victory, Schumer praises New Yorkers' affinity for Yiddish https://t.co/P8FcZjdluV",QuorumCall,USA,0,0,4,4
131,26,2022-11-23 04:07:23+00:00,Charles Schumer is our Bloody Baron #comeymemo,HParallels,Hogwarts,0,0,0,0
132,27,2022-11-22 22:41:36+00:00,"@greg_price11 Charles Schumer is muff-cabbage. Another over-the-hill, mentally ill, career politician whom, (you are right), has done nothing but contribute to the blatant accelerated decline of this country. 

He/they should all be removed by any means necessary.",cloudfirecap,"Pittsburgh, PA",0,0,0,0
133,28,2022-11-22 20:09:47+00:00,"RT @JuergenAusNRW: @NMBewitched „Fire Risa Weinstock” the dog killer
RISA WEINSTOCK - DIRECTOR OF ACC OF NEW YORK NEEDS TO RESIGN NOW!!!

#…",Wynjym,Ontario,1,0,0,0
134,29,2022-11-22 19:14:20+00:00,Chuck Schumer: Then and now | Cal Thomas – News-Herald https://t.co/GYiL3hwQVw,QuorumCall,USA,0,0,4,4
135,30,2022-11-22 16:59:18+00:00,"Schumer, then and now | Op-Ed Columns | https://t.co/NsJiKPoL2L https://t.co/wfzpT30Ir8",QuorumCall,USA,0,0,4,4
136,31,2022-11-22 16:08:06+00:00,"If an awards show were created to honor Washington politicians for the most outlandish, hypocritical and contradictory positions, Sen. Charles Schumer (D-NY) would be among the top contenders. https://t.co/1xK2RCpqxc",washtimesherald,"Washington, IN",0,0,4,4
137,32,2022-11-22 14:42:25+00:00,"Flip-flop Schumer on illegal immigration, then and now – Washington Times https://t.co/5u7pZoZP6f",QuorumCall,USA,0,0,4,4
138,33,2022-11-22 13:24:37+00:00,"RT @TornCurtain1991: I invite you to read my updated blog:
• Holodomor Remembrance: Never Forget; Never Forgive – UPDATES with comments by…",HolodomorAware,United States,6,0,4,4
139,34,2022-11-22 12:18:24+00:00,"Irish unity has ""full support"" of US Senate Majority Leader Chuck Schumer – IrishCentral https://t.co/YkTLjjF8jV",QuorumCall,USA,0,0,4,4
140,0,2022-11-23 22:03:10+00:00,Senator Charles Schumer made a stop in Orchard Park this afternoon to announce a major effort to maximize the amount of federal assistance Western New York can receive in the wake of the record-breaking snowstorm. https://t.co/k4kC1RyRfL https://t.co/1aAREi7bOk,GregLarsonWDOE,"Fredonia, NY",0,0,0,0
141,1,2022-11-23 20:46:06+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",ShadowB88750056,Southern California,10,0,4,4
142,2,2022-11-23 19:50:17+00:00,"@JackPosobiec His best customers were the Obamas and the Clintons and other politicians. When Chuck Schumer rode his plane he used the pseudonym ‘Charles Shumi’.

https://t.co/dmiZ7eVyog",RogelioBelmont,,1,0,4,4
143,3,2022-11-23 19:30:44+00:00,"@JamesESisson1 @JDCocchiarella Hey Einstein ..... having ""MEMORY PROBLEMS""??
We'll ""fix that:""
1) Democrat Charles Schumer invoked the filibuster 327 TIMES in four years
2) Democrat Schumer told ALL Dems in the Senate, NOT to vote ""yea"" for ANY legislation not 100% sponsored by Democrats
*That was PURE ""BS""!",iroc158,,0,1,0,0
144,4,2022-11-23 19:27:35+00:00,@ProfessorKraz @kylegriffin1 Charles Schumer again? That was funny.,Stephen81770019,Somewhere in Massachusetts ,0,0,4,4
145,5,2022-11-23 18:27:46+00:00,"RT @nbablib: Famous Birthdays: William H. Bonney(1859), Boris Karloff(1877), Harpo Marx(1888), Charles Schumer(1950), Steve Harvey(1956), R…",CrotonLibrary,"Croton-on-Hudson, NY",1,0,4,4
146,6,2022-11-23 17:20:59+00:00,"Famous Birthdays: William H. Bonney(1859), Boris Karloff(1877), Harpo Marx(1888), Charles Schumer(1950), Steve Harvey(1956), Robin Roberts(1960) and Miley Cyrus(1992).",nbablib,North Babylon,1,2,4,4
147,7,2022-11-23 17:08:24+00:00,"Schumer, Then and Now – Townhall https://t.co/tc8xNrOO6G",QuorumCall,USA,0,0,4,4
148,8,2022-11-23 16:32:16+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",wyvettelvr,"Wyoming, USA",10,0,4,4
149,9,2022-11-23 16:02:30+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",Snap1967Ginger,USA,10,0,4,4
150,10,2022-11-23 15:21:07+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",Dman5413,,10,0,4,4
151,11,2022-11-23 15:18:33+00:00,"RT @528i: @BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
A…",maritza82283179,,10,0,4,4
152,12,2022-11-23 15:04:15+00:00,"@JDCocchiarella I have questions too: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
Al Sharpton 
Maxine Waters 
Bil Clinton 
Hillary Clinton 
Chelsea Clinton 
Just to name a few.",528i,"Houston,Texas",0,0,4,4
153,13,2022-11-23 15:00:56+00:00,"@BamaJacx @ToscaAusten Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
Al Sharpton 
Maxine Waters 
Bil Clinton 
Hillary Clinton 
Chelsea Clinton 
Just to name a few.",528i,"Houston,Texas",10,14,4,4
154,14,2022-11-23 15:00:27+00:00,"@SpeakerPelosi Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
Al Sharpton 
Maxine Waters 
Bil Clinton 
Hillary Clinton 
Chelsea Clinton 
Just to name a few.",528i,"Houston,Texas",0,1,4,4
155,15,2022-11-23 14:56:39+00:00,"@nathaliejacoby1 Let's see these tax returns first: 
Joe Biden 
Hunter Biden 
Nancy Pelosi 
Adam Schiff 
Charles Schumer 
Al Sharpton 
Maxine Waters 
Bil Clinton 
Hillary Clinton 
Chelsea Clinton 
Just to name a few.",528i,"Houston,Texas",0,0,4,4
156,16,2022-11-23 14:43:26+00:00,Sen. Schumer: Relief in sight for homeowners taxed by IRS for septic improvement grant https://t.co/kMQ5RCPCsG,QuorumCall,USA,0,0,4,4
157,17,2022-11-23 13:03:31+00:00,Get out the birthday balloons! Sen. Charles Schumer (D) from NY was born today! https://t.co/UvAxkOoINz,ButterflyLachoi,"San Jose, CA",0,0,4,4
158,18,2022-11-23 13:00:31+00:00,Get out the birthday balloons! Sen. Charles Schumer (D) from NY was born today! https://t.co/HnQXjVjSW9,ButterflyLachoi,"San Jose, CA",0,0,4,4
159,19,2022-11-23 12:38:11+00:00,Charles Schumer is our Vernon Dursley #comeymemo,HParallels,Hogwarts,0,0,4,4
160,20,2022-11-23 12:19:19+00:00,SCHUMER REVEALS: ISSUE OF 'DOUBLE TAXING' FOR SUFFOLK SEPTIC GRANTS … https://t.co/cKy8rq0dvX,QuorumCall,USA,0,0,4,4
161,21,2022-11-23 11:48:25+00:00,"CAL THOMAS: Charles Schumer, then and now https://t.co/hkqCGGwMPU https://t.co/6DyrtnqWPV",TheClaytonNews,"Jonesboro, Ga.",0,0,4,4
162,22,2022-11-23 09:46:51+00:00,"Cal Thomas: Schumer, then and now | | https://t.co/7vJToX5AYA https://t.co/VfLQPDih4m",QuorumCall,USA,0,0,4,4
163,23,2022-11-23 07:10:04+00:00,"@Tampax nooo don’t sexualize tampons!! Just as nasty as when Charles Windsor did it. We’ve been trying to get away from that shit for years, gals are still being prevented from using them because it’ll “take their virginity”🤢. I do like ur Amy Schumer ads but this is ICKY",eacarriere,"Northwestern Ontario, Canada",0,0,0,0
164,24,2022-11-23 07:07:54+00:00,"CAL THOMAS: Charles Schumer, then and now | News | https://t.co/NFQQYwjBQ1 https://t.co/mNWUim2Dwj",QuorumCall,USA,0,0,4,4
165,25,2022-11-23 04:38:19+00:00,"Celebrating Dems Senate victory, Schumer praises New Yorkers' affinity for Yiddish https://t.co/P8FcZjdluV",QuorumCall,USA,0,0,4,4
166,26,2022-11-23 04:07:23+00:00,Charles Schumer is our Bloody Baron #comeymemo,HParallels,Hogwarts,0,0,0,0
167,27,2022-11-22 22:41:36+00:00,"@greg_price11 Charles Schumer is muff-cabbage. Another over-the-hill, mentally ill, career politician whom, (you are right), has done nothing but contribute to the blatant accelerated decline of this country. 

He/they should all be removed by any means necessary.",cloudfirecap,"Pittsburgh, PA",0,0,0,0
168,28,2022-11-22 20:09:47+00:00,"RT @JuergenAusNRW: @NMBewitched „Fire Risa Weinstock” the dog killer
RISA WEINSTOCK - DIRECTOR OF ACC OF NEW YORK NEEDS TO RESIGN NOW!!!

#…",Wynjym,Ontario,1,0,0,0
169,29,2022-11-22 19:14:20+00:00,Chuck Schumer: Then and now | Cal Thomas – News-Herald https://t.co/GYiL3hwQVw,QuorumCall,USA,0,0,4,4
170,30,2022-11-22 16:59:18+00:00,"Schumer, then and now | Op-Ed Columns | https://t.co/NsJiKPoL2L https://t.co/wfzpT30Ir8",QuorumCall,USA,0,0,4,4
171,31,2022-11-22 16:08:06+00:00,"If an awards show were created to honor Washington politicians for the most outlandish, hypocritical and contradictory positions, Sen. Charles Schumer (D-NY) would be among the top contenders. https://t.co/1xK2RCpqxc",washtimesherald,"Washington, IN",0,0,4,4
172,32,2022-11-22 14:42:25+00:00,"Flip-flop Schumer on illegal immigration, then and now – Washington Times https://t.co/5u7pZoZP6f",QuorumCall,USA,0,0,4,4
173,33,2022-11-22 13:24:37+00:00,"RT @TornCurtain1991: I invite you to read my updated blog:
• Holodomor Remembrance: Never Forget; Never Forgive – UPDATES with comments by…",HolodomorAware,United States,6,0,4,4
174,34,2022-11-22 12:18:24+00:00,"Irish unity has ""full support"" of US Senate Majority Leader Chuck Schumer – IrishCentral https://t.co/YkTLjjF8jV",QuorumCall,USA,0,0,4,4
